,축제명,주소,연락처,시작일,종료일,위도,경도
686,센텀맥주축제(CENTUM BEER FESTIVAL) 2020,부산광역시 해운대구 센텀서로 30,051-850-9344,2020-09-17,2020-09-27,35.1720806398,129.1284464252
687,소방관과 함께하는 119런 2019,서울 서대문구 연세로,010-2722-5151,2019-11-16,2019-11-16,37.5586543689,126.9342141692
688,속리산단풍가요제 2019,충북 보은군 속리산면 사내리 203-1,"보은군청 문화관광과(043-540-3391~3),MBC충북 전략사업부(043-229-7096)",2019-10-12,2019-10-12,36.5327582125,127.8248236955
689,속초 음악불꽃크루즈 2020,강원도 속초시 중앙로 214-1,1522-8905,2020-03-01,2020-12-31,38.2096096416,128.5934271477
690,속초 해맞이 2020,강원도 속초시 해오름로 186-2,033-635-8827,2019-12-31,2020-01-01,38.1887261874,128.6050461888
691,속초별미 양미리 축제 2019,강원도 속초시 설악금강대교로 230,033-630-7722,2019-11-01,2019-11-10,38.2105262185,128.5942825963
692,송도맥주축제 2019,인천광역시 연수구 센트럴로 350,032-830-1000,2019-08-23,2019-08-31,37.4078332011,126.6324847807
693,송탄관광특구 한마음축제 2019,경기도 평택시 서정동 송탄관광특구로 일대(송탄출장소 앞),031-8024-3291,2019-09-28,2019-09-29,37.0678328371,127.0546891838
694,쇠소깍 검은모래축제 2019,제주특별자치도 서귀포시 쇠소깍로 151-8,효돈동주민센터 064-760-4623,2019-08-17,2019-08-18,33.2505622196,126.6212786274
695,수문장 교대의식,서울특별시 종로구 사직로 161,02-3210-1645,2020-01-01,2020-12-31,37.5801859611,126.9767235747
696,수미마을 메기수염 캠피닉 2020,경기도 양평군 단월면 곱다니길 55-2,010-3594-1114,2020-08-15,2020-12-31,37.5144948588,127.6573663730
697,수산물페스티벌 2019,경상북도 포항시 남구 희망대로 1308,포항시 수산진흥과 054-270-2853,2019-09-20,2019-09-21,36.0462008581,129.3787193568
698,수성 건강 축제 2019,대구광역시 수성구 유니버시아드로 180,053-666-3124,2019-08-02,2019-08-03,35.8298096160,128.6901776754
699,수성구 평생학습주간 축제 2019,대구광역시 수성구 유니버시아드로 180 대구스타디움,053-666-3210,2019-05-18,2019-05-24,35.8299818185,128.6901804487
700,수성못 페스티벌(SUSEONG LAKE FESTIVAL) 2020,대구광역시 수성구 무학로 112,053-668-1504,2020-09-18,2020-09-20,35.8293778245,128.6205949230
701,수성빛예술제 2020,경북 대구 수성구 두산동 512 수성못 일대,문화체육과 053-666-2163,2019-12-20,2020-01-12,35.8294027794,128.6182979022
702,수원 대보름민속놀이한마당 2019,경기도 수원시 팔달구 정조로 825,수원문화원 031-244-2161,2019-02-17,2019-02-17,37.2811796541,127.0138897205
703,수원 문화재 야행(夜行) 2019,경기도 수원시 팔달구 정조로 825,화성콘텐츠팀 031-290-3571~3575,2019-08-09,2019-08-11,37.2818712498,127.0143757682
704,수원 화성행궁 장용영수위의식 2019,경기도 수원시 팔달구 정조로 825,화성콘텐츠팀 031-290-3575,2019-04-06,2019-10-27,37.2818712498,127.0143757682
705,수원 화성행궁 토요상설공연 2019,경기도 수원시 팔달구 정조로 825,수원문화재단 화성콘텐츠팀 (031-290-3575),2019-04-06,2019-10-26,37.2818712498,127.0143757682
706,수원박물관 어린이날행사 2019,경기도 수원시 영통구 창룡대로 265,"031-228-4164, 4141",2019-05-05,2019-05-05,37.2975559248,127.0357206136
707,수원발레축제 2020,경기도 수원시 장안구 이목로 24-25,02-2263-4680,2020-08-16,2020-08-20,37.3097508547,126.9864802990
708,수원재즈페스티벌 2019,경기도 수원시 영통구 광교호수로 57 광교호수공원 스포츠클라이밍장,031-250-5325,2019-09-18,2019-09-19,37.2750451718,127.0652796730
709,순창세계발효소스박람회 2019,전라북도 순창군 순창읍 백산리 805,063-276-8800,2019-10-18,2019-10-20,35.3683392442,127.1109293785
710,순천 푸드·아트 페스티벌 2020,전라남도 순천시 중앙로 125,061-749-5502,2020-09-11,2020-09-13,34.9567976217,127.4840069709
711,순천만갈대제 2019,전라남도 순천시 순천만길 513-25,061-749-6052,2019-10-25,2019-10-27,34.8855171821,127.5096509739
712,순천만국가정원 국제차문화산업전 2019,전라남도 순천시 국가정원1호길 47 순천만국가정원,010-5551-2010,2019-10-04,2019-10-06,34.9293648665,127.4998312785
713,슈퍼레이스 아시아 모터스포츠 카니발 2019,전라남도 영암군 삼호읍 삼포리,02-6740-7860,2019-08-03,2019-08-04,34.7456364847,126.3992104962
714,스마트공장구축 및 생산자동화전 2019,경기도 수원시 영통구 광교중앙로 140 수원컨벤션센터(SCC),컨퍼런스/부스참가/ 문의 : 02-588-2526,2019-11-20,2019-11-22,37.2858799237,127.0594632301
715,스마트국토엑스포 2019,서울특별시 강남구 영동대로 513,02-6918-2566,2019-08-07,2019-08-09,37.5117592813,127.0591874466
716,스마트하게 한양도성 즐기기 2019,서울특별시 종로구 대학로 104,02-761-2578,2019-05-11,2019-06-29,37.5803030772,127.0024795565
717,스타프랜쇼 (STAR-FRAN SHOW) 2020,경기도 고양시 일산서구 킨텍스로 217-60,02-6000-6672,2020-04-23,2020-04-25,37.6689215091,126.7457782594
718,스파밸리 삼바축제 2019,대구광역시 달성군 가창면 가창로 891,-,2019-07-20,2019-08-18,35.7881605357,128.6353392148
719,슬기로운 집사생활 2020,경기도 수원시 영통구 광교중앙로 140,031-8067-5200,2020-07-24,2020-07-26,37.2858799237,127.0594632301
720,시끌벅적 과학축제 2019,서울특별시 광진구 구천면로 2,02-2204-3190,2019-04-13,2019-04-28,37.5464088823,127.1062266254
721,시크릿,서울특별시 종로구 동숭길 72,02-747-7407,2019-01-01,2019-12-31,37.5814363108,127.0042904706
722,신나는 예술여행 All ways Incheon of Re-place <색다른 우리동네> 2019,인천광역시 동구 송현동 동구 동인천역 북광장,"032-575-2526, 010-9170-9107",2019-09-01,2019-10-27,37.4865714126,126.6403513241
723,신도림고리 생활문화지원센터 '모두의 전람회 : 동아리 열전Ⅱ' 2019,서울특별시 구로구 구로동 3-33,02-867--2202,2019-05-10,2019-06-14,37.5107924524,126.8888363208
724,신라문화제 2020,경북 경주시 용담로 79-41,054-760-2622~3,2020-10-08,2020-10-14,35.8600242878,129.2120059932
725,신라소리축제 에밀레전 2019,경상북도 경주시 첨성로 147,053-427-5114,2019-10-12,2019-10-12,35.8358993280,129.2170090198
726,신라의달밤 165리 걷기대회 2019,경상북도 경주시 용담로 79-41,054-743-5521,2019-11-09,2019-11-10,35.8585245260,129.2156751589
727,신촌국제꽃시장 2019,서울특별시 서대문구 연세로 5,010-5574-2888,2019-10-05,2019-10-06,37.5561213716,126.9365529168
728,신촌댄스경연대회 2019,서울특별시 서대문구 연세로 5,-,2019-10-05,2019-10-06,37.5561213716,126.9365529168
729,신촌맥주축제 2019,서울특별시 서대문구 창천동 연세로,1522-9223,2019-09-20,2019-09-22,37.5556575125,126.9352058303
730,신촌야행 2019,서울특별시 서대문구 연세로 5,02-2156-3068,2019-05-17,2019-05-19,37.5561213716,126.9365529168
731,실버문화 페스티벌 2019,서울특별시 광진구 능동로 216,02-704-2311,2019-09-19,2019-09-22,37.5498913551,127.0809066088
732,실패박람회 2019,서울특별시 종로구 세종대로 172,02-2100-3399,2019-09-20,2019-09-22,37.5721702275,126.9767932398
733,실학박물관 '실학어린이날 큰잔치' 2019,경기도 남양주시 조안면 다산로747번길 16,031-579-6000~1,2019-05-04,2019-05-06,37.5159937088,127.3005875949
734,심훈상록문화제 2019,충청남도 당진시 시청1로 1,041-352-4802,2019-09-20,2019-09-22,36.8896128919,126.6461643675
735,아라마린페스티벌 2019,경기도 김포시 고촌읍 전호리,031) 999-7831~4,2019-08-03,2019-08-05,37.5978943993,126.7869987153
736,아라뱃길 카약축제 2019,인천광역시 서구 정서진로 691,1899-3650,2019-05-18,2019-05-18,37.5733036211,126.6759206592
737,아름다운청년 전태일기념관 연극 '개천의 용간지' 2019,서울특별시 종로구 청계천로 105,02-318-0904,2019-06-19,2019-06-23,37.5712566316,126.9871978727
738,아세안 문화 로드쇼 - 비바아세안 2019,부산광역시 해운대구 좌동로 162,051-775-2026,2019-10-22,2019-10-30,35.1751785093,129.1820888976
739,아세안문화원 자동차극장 ' 집콕탈출' 2020,부산광역시 해운대구 해운대해변로 84,070-7525-3659,2020-05-22,2020-05-24,35.1598405944,129.1419844733
740,아시아 복합리조트 산업 박람회 2019,인천광역시 연수구 센트럴로 123,02-6927-3640,2019-07-17,2019-07-19,37.3890356252,126.6461951621
741,아시아 트레일즈 컨퍼런스 2019,부산 해운대구 APEC로 55,010-7347-0042,2019-10-11,2019-10-13,35.1688839056,129.1354709023
742,아시아나국제단편영화제 2019,서울특별시 종로구 새문안로 68,02-783-6518,2019-10-31,2019-11-05,37.5696176634,126.9721604004
743,아시아문화예술 활성화 거점 프로그램 2019,광주광역시 동구 예술길 21,062-224-0323,2019-04-20,2019-10-26,35.1500550871,126.9186296888
744,아시아문화포럼 2019,광주광역시 동구 문화전당로 38,062-226-2733~4,2019-10-18,2019-10-18,35.1467693755,126.9202851804
745,아시아송 페스티벌 (Asia Song Festival) 2019,울산광역시 중구 염포로 55,052-290-1142,2019-10-11,2019-10-12,35.5626603600,129.3479914251
746,"아시아퍼시픽뮤직미팅(APaMM,에이팜) 2020",울산광역시 남구 번영로 200,052-270-9304,2020-09-25,2020-09-27,35.5429927340,129.3271660193
747,아시아프 2020,서울특별시 마포구 와우산로 94,asyaaf@chosun.com,2020-07-21,2020-08-16,37.5512772937,126.9255540555
748,아시테지 국제여름축제 2020,서울특별시 종로구 동숭길 114,02-745-5862~3,2020-08-15,2020-08-25,37.5832416489,127.0038654579
749,아우라지 뗏목 달빛 축제 2019,강원도 정선군 여량면 아우라지길 69,여량면문화체육추진위원회 부회장 이정우 010-6636-5333,2019-08-02,2019-08-04,37.4756444534,128.7242545781
750,아이가 행복입니다 2020,서울특별시 송파구 올림픽로 300,1855-3164,2020-09-10,2020-09-13,37.5126099637,127.1025668077
751,아이오닉 롱기스트런 2019,서울특별시 영등포구 여의공원로 120,1800-5954,2019-11-09,2019-11-09,37.5296353832,126.9266462333
752,아줌마대축제·우리농수산물큰잔치 2019,대전광역시 유성구 노은동로 33,042-380-7077,2019-09-20,2019-09-22,36.3646461848,127.3203678708
753,아차산 해맞이 2020,서울특별시 광진구 워커힐로 127,02-450-7584,2020-01-01,2020-01-01,37.5511581749,127.0976050532
754,아침고요수목원 국화전시회 2019,경기도 가평군 상면 수목원로 432,1544-6703,2019-10-19,2019-11-24,37.7417489763,127.3519430810
755,아침고요수목원 무궁화전시회 2020,경기도 가평군 상면 수목원로 432,1544-6703,2020-07-25,2020-08-23,37.7424072328,127.3519180642
756,아침고요수목원 봄나들이 봄꽃축제 2020,경기도 가평군 상면 수목원로 432,1544-6703,2020-04-17,2020-05-24,37.7417489763,127.3519430810
757,아침고요수목원 수국전시회 2020,경기도 가평군 상면 수목원로 432,1544-6703,2020-06-06,2020-07-05,37.7440126130,127.3525568480
758,아침고요야생화전 2020,경기도 가평군 상면 수목원로 432,1544-6703,2020-03-18,2020-04-05,37.7439487308,127.3525096320
759,안 무서운 할로윈 축제 2019,경기도 용인시 기흥구 동백죽전대로175번길 6,080-500-0175,2019-10-05,2019-10-27,37.2576961086,127.1604631946
760,안동 달빛투어 달그락 2020,경상북도 안동시,054-858-1894,2020-08-01,2020-10-31,36.5628271349,128.7329475077
761,안동 월영야행 2020,경북 안동시 상아동 569,054)856-3013,2020-08-06,2020-08-09,36.5770649158,128.7603446627
762,안동 한지축제 2019,경북 안동시 풍산읍 소산리,054-855-0471,2019-09-20,2019-09-22,36.5508635477,128.5282910352
763,안면도 백사장 대하축제 2019,충청남도 태안군 안면읍 백사장1길 91,010-2433-2283,2019-09-21,2019-10-13,36.5858144497,126.3157801110
764,안산 별빛마을 애니멀 & 하트빌리지 빛축제 2020,경기도 안산시 상록구 수인로 1723,031-484-5050,2020-01-01,2020-12-31,37.3394480000,126.8634434286
765,"안산 어촌민속박물관 '풍도해전, 그날' 2019",경기도 안산시 단원구 대부황금로 7,"032-886-2912, 0126",2019-05-01,2019-12-31,37.1953413869,126.6440368021
766,안성 남사당 상설공연 2020,경기도 안성시 보개면 남사당로 198-2,031-678-2518,2020-03-28,2020-11-28,37.0318221187,127.3101448759
767,안성 호밀밭축제 2019,경기도 안성시 공도읍 대신두길 28,031-8053-7979,2019-04-20,2019-06-06,36.9920801848,127.1944119888
768,안성두메호수빙어축제 2020,경기도 안성시 죽산면 두메호수로 90,031-674-4528,2019-12-28,2020-02-02,37.0094684960,127.4284792701
769,안성팜랜드 봄!봄!봄! 냉이축제 2020,경기도 안성시 공도읍 대신두길 28,031-8053-7979,2020-02-14,2020-03-22,36.9920801848,127.1944119888
770,안성팜랜드 신나고 시원한 여름축제 2019,경기도 안성시 공도읍 대신두길 28,031-8053-7979,2019-07-13,2019-08-25,36.9920801848,127.1944119888
771,안성팜랜드 초원 눈썰매장 2020,경기도 안성시 공도읍 대신두길 28,031-8053-7979,2020-01-04,2020-02-09,36.9920551873,127.1943897688
772,안양시민축제 2020,경기도 안양시 동안구 관평로 149,031-687-0500,2020-10-17,2020-10-18,37.3901438629,126.9612886704
773,안흥찐빵축제 2019,강원도 횡성군 안흥면 안흥로 27,033-340-2603,2019-09-27,2019-09-29,37.4125603793,128.1560881634
774,앙성탄산온천축제 2019,충청북도 충주시 앙성면 새바지길 17,043-852-1068,2019-10-04,2019-10-06,37.0915991472,127.8009267165
775,앤서니 브라운展 - 행복극장 2020,대구광역시 북구 엑스코로 10,053-601-5452,2019-12-06,2020-02-28,35.9072105425,128.6131211911
776,양동이 페스티벌 2019,광주광역시 서구 천변좌로 238,062-366-0884,2019-10-17,2019-10-19,35.1543376604,126.9022393641
777,양록제 2019,강원도 양구군 양구읍 함춘로 25-9,033-480-2251,2019-10-10,2019-10-12,38.1096345933,127.9844717471
778,양산 유채꽃 향연 2019,경상남도 양산시 신기강변1길 11,농업기술센터 055-392-5341~3,2019-04-06,2019-04-14,35.3510199504,129.0347052197
779,양산 천성산 철쭉제 2020,경상남도 양산시 배움터길 60-19,055-392-2547~8,2020-05-11,2020-05-11,35.3776550906,129.1434394442
780,양산배내골사과축제 2019,경상남도 양산시 원동면 배내로 431,055-365-6262,2019-11-02,2019-11-03,35.4869565434,128.9857612877
781,양산삽량문화축전 2019,경상남도 양산시 양산대로 849,"055-392-2547, 8",2019-10-11,2019-10-13,35.3447122789,129.0322167220
782,양산차문화축제 2019,경상남도 양산시 하북면 신평중앙길 24,055-367-9556,2019-10-19,2019-10-20,35.4927132947,129.0849080200
783,양양송이축제 2019,강원도 양양군 양양읍 남문리 226-2,"양양군청 문화관광체육과 / 033-670-2207,2723",2019-09-26,2019-09-29,38.0731566683,128.6242869334
784,양양연어축제 2019,강원도 양양군 양양읍 남문리 226-2번지,강원도 양양군청 문화관광체육과 관광마케팅부서 (연락처) 033-670-2724,2019-10-24,2019-10-27,38.0731566683,128.6242869334
785,양재플라워페스타 2019,서울특별시 서초구 강남대로 27 화훼공판장,070-8831-5888,2019-10-23,2019-10-27,37.4683111849,127.0390127336
786,양주 김삿갓 전국문학대회 2019,경기도 양주시 부흥로1399번길 47,031-836-5141,2019-05-18,2019-05-18,37.7861018629,127.0308377650
787,양주 눈꽃축제 2020,경기도 양주시 장흥면 권율로 594,080-233-7766,2019-12-27,2020-02-09,37.7581595486,126.9684887063
788,양주 유수풀 물놀이장 2020,경기도 양주시 장흥면 권율로 594,080-233-7766,2020-07-24,2020-08-23,37.7582289857,126.9685331447
789,양주 천만송이 천일홍 축제 2019,경기도 양주시 광사로 131-66,031-8082-7227,2019-09-21,2019-09-22,37.7857889325,127.0818108951
790,양주예술제 2019,경기도 양주시 평화로1435번길 56,031-836-5141,2019-06-22,2019-06-23,37.8214563387,127.0453132041
791,양촌곶감축제 2019,충청남도 논산시 양촌면 이메길 25,041-746-8792,2019-12-14,2019-12-15,36.1299911374,127.2459197200
792,양평 대자연 빙어송어축제 2020,경기도 양평군 지평면 금의길 69,031-773-4797,2020-01-03,2020-02-17,37.4676668642,127.6527375962
793,양평 몽땅구이축제 2019,경기도 양평군 단월면 곱다니길 55-2,031-775-5205,2019-09-02,2019-12-02,37.5144948588,127.6573663730
794,양평물축제 2019,경기도 양평군 옥천면 옥천체육공원길 66,031-770-3155,2019-07-26,2019-07-28,37.5201405072,127.4560955751
795,양평빙어축제 2020,경기도 양평군 단월면 백동길 269-19,031-771-7750,2020-01-03,2020-01-26,37.5610399614,127.6843181301
796,어린이 목공체험:뚝딱 우드랜드 2020,강원도 춘천시 남산면 남이섬길 1,02-753-1245~6,2020-09-05,2020-09-27,37.7901798790,127.5261480243
797,어린이날 기념 춘천시어린이대축제 '모.여.라! 우리들 세!상!' 2019,강원도 춘천시 우석로 102,"033-250-3254, 033-258-1251",2019-05-05,2019-05-05,37.8638561555,127.7572803690
798,어린이디자인페스티벌 2019,경상북도 경산시 남매로 100,053-783-3399,2019-10-25,2019-10-27,35.8211588090,128.7437981999
799,어린이비전센터 두근두근 어린이 FESTA 2019,경기도 남양주시 진접읍 해밀예당1로 96,031-560-1561~3,2019-05-05,2019-05-05,37.7198318873,127.1889585696
800,어울림빛누리축제 2020,경기도 고양시 덕양구 어울림로 33 고양어울림누리 광장,070-4272-4493 / 031-960-9683,2019-12-16,2020-01-31,37.6496475589,126.8345456923
801,어천절 대제전 2019,서울특별시 종로구 인왕산로 22,02-736-6375,2019-03-15,2019-03-15,37.5758973750,126.9657941363
802,엄마랑함께하장 2019,경기도 안산시 단원구 동산로 268,031-411-1541,2019-10-05,2019-10-06,37.3259570189,126.8139121978
803,에버랜드 로즈가든 2020,경기도 용인시 처인구 포곡읍 에버랜드로 199,031-320-5000,2020-05-15,2020-06-14,37.2939343647,127.2040721101
804,에버랜드 블러드시티 2019,경기도 용인시 처인구 포곡읍 에버랜드로 199,에버랜드 관광안내소 031-321-9393<br />에버랜드 031-320-5000,2019-08-30,2019-11-17,37.2902124898,127.1994281916
805,에버랜드 썸머워터펀 2020,경기도 용인시 처인구 포곡읍 에버랜드로 199,031-320-5000,2020-07-03,2020-08-30,37.2924319247,127.2131685506
806,에버랜드 크리스마스판타지 2019,경기도 용인시 처인구 포곡읍 에버랜드로 199,에버랜드 관광안내소 031-321-9393<br />에버랜드 031-320-5000,2019-12-06,2020-01-01,37.2924319247,127.2131685506
807,에버랜드 튤립가든 2020,경기도 용인시 처인구 포곡읍 에버랜드로 199,031-320-5000,2020-03-26,2020-04-30,37.2924319247,127.2131685506
808,엘리시안 강촌 어린이날 페스티벌 2019,강원도 춘천시 남산면 북한강변길 688,033-260-2779 / 033-260-2000,2019-05-05,2019-05-05,37.8329008430,127.5766393945
809,여성마라톤대회 2019,서울특별시 마포구 하늘공원로 108-1,"02-2036-9211 ,9214",2019-05-04,2019-05-04,37.5693049125,126.8785133923
810,여수 야경불꽃크루즈 2020,전라남도 여수시 돌산읍 돌산로 3617-18,1522-8905,2020-01-01,2020-12-31,34.7297302429,127.7369794626
811,여수 여자만 갯벌노을축제 2019,전라남도 여수시 소라면 서부로 785-24,061-659-4744,2019-09-28,2019-09-29,34.7901899956,127.5680371592
812,여수 향일암일출제 2020,전라남도 여수시 돌산읍 향일암로 70-4,061-659-4743 / 1899-2012,2019-12-31,2020-01-01,34.5942687844,127.8043881215
813,여수마칭페스티벌 2019,전남 여수시 중앙동 385-6 이순신광장,061-659-3027,2019-09-20,2019-09-21,34.7389319783,127.7362681799
814,여우樂 페스티벌 2020,서울특별시 중구 장충단로 59,02-2280-4114,2020-07-03,2020-07-25,37.5519729781,126.9992473208
815,여행페스타 2019,서울특별시 강남구 영동대로 513,02-6000-8123,2019-10-18,2019-10-20,37.5117148467,127.0594429796
816,연극 라이어 (대학로),서울특별시 종로구 대학로 144,02-747-2070,2020-01-01,2020-12-31,37.5839831970,127.0020350484
817,연극 수상한 흥신소,서울특별시 종로구 대학로 128,070-8129-7420,2019-01-01,2019-12-31,37.5827166790,127.0021350751
818,연극 죽여주는 이야기,서울특별시 종로구 이화장길 72,02-6326-1333,2019-01-01,2019-12-31,37.5784894370,127.0046294120
819,연천 허브빌리지 안젤로니아 페스티벌 2019,경기도 연천군 왕징면 북삼로20번길 55,031-833-5100,2019-08-15,2019-10-20,38.0887632942,127.0048952851
820,염리동 소금 축제 '염리동 愛(애) 소금꽃 피다!' 2019,서울특별시 마포구 대흥로20길 28,02-3153-6664,2019-09-28,2019-09-28,37.5499500274,126.9455494932
821,영남알프스 전국 산악대회 2019,울산광역시 울주군 상북면 알프스온천5길 103-8,052-296-8848,2019-10-26,2019-10-27,35.5563585902,129.0676299774
822,영남춤축제 2019,부산광역시 부산진구 국악로 2,051-811-0114,2019-09-25,2019-10-26,35.1714404510,129.0542528980
823,영덕 해맞이 '경북대종 타종식' 2020,경상북도 영덕군 강구면 해상공원길 120-7,054-730-6393,2019-12-31,2020-01-01,36.3518746522,129.3838738748
824,영동 곶감축제 2020,충청북도 영동군 영동읍 계산리 영동하상주차장 일원,043-745-8912~8,2020-01-03,2020-01-05,36.1796700511,127.7851564272
825,영동 포도축제 2020,충청북도 영동군 영동읍 영동황간로 122,043-745-8912,2020-08-27,2020-08-30,36.1640162222,127.7819599172
826,영동난계국악축제 2020,충청북도 영동군 영동읍 중앙로 11,043-745-8912,2020-09-24,2020-09-27,36.1770756832,127.7729881364
827,영동대로Countdown 2020,서울특별시 강남구 영동대로 513,02-751-9358,2019-12-31,2020-01-01,37.5117148467,127.0594429796
828,영등포 어린이축제 2019,서울특별시 영등포구 신길로 275,-,2019-05-04,2019-05-05,37.5189724358,126.9100036064
829,영산강 서창들녘 억새축제 2019,광주광역시 서구 서창둑길 377,062-360-7186,2019-10-11,2019-10-13,35.1384854339,126.8287823667
830,영산강 유채꽃 대향연 2019,전라남도 나주시 삼영동 117-6,061-333-2546,2019-04-05,2019-04-09,35.0015821384,126.7046939541
831,영산강문화제-누정 2019,광주광역시 남구 승촌보길 90,영산강문화관 안내데스크 061-335-0866,2019-10-01,2019-10-31,35.0660063695,126.7611512602
832,영양고추 H.O.T 페스티벌 2019,서울특별시 중구 세종대로 110,054-680-6571,2019-08-27,2019-08-29,37.5656210115,126.9780488655
833,영월 김삿갓 문화제 2019,강원도 영월군 김삿갓면 와석리 897-2,033-375-6353,2019-09-27,2019-09-29,37.0826734728,128.6021939496
834,영월 삼굿축제 2019,강원도 영월군 중동면 유전길 183,"033-378-3223,070-7787-1132",2019-08-31,2019-08-31,37.1606910285,128.6821511460
835,영일만 검은 돌장어 축제 2019,경상북도 포항시 남구 동해면 도구리 729-17,포항시 수산진흥과 054-270-2853,2019-07-26,2019-07-28,35.9918082139,129.4418792807
836,영주 국화 야생화 전시회 2019,경상북도 영주시 영주동,054-639-7494,2019-10-25,2019-10-30,36.8269863631,128.6142115010
837,영주 사과축제 2020,경북 영주시 시민운동장 및 서천둔치,054-630-8711~8713,2020-10-24,2020-11-01,36.8071635574,128.6102096587
838,영천 보현산 별빛축제 2020,경상북도 영천시 화북면 별빛로 681-32,054-330-6702,2020-10-09,2020-10-11,36.1402690623,128.9964752607
839,영천 한약축제 2019,경상북도 영천시 화룡동 128번지,054-339-7246,2019-09-27,2019-09-29,35.9783971048,128.9214198176
840,영천와인페스타 2019,경상북도 영천시 천문로 622-13(오미동) 영천시농업기술센터,054-339-7397,2019-09-28,2019-09-29,35.9909624342,128.9259829487
841,영크리에이터 마켓 '6월 마주치장' 2019,서울특별시 성동구 왕십리로 63,02-725-5527,2019-06-15,2019-06-15,37.5436108568,127.0435657431
842,영크리에이터스 마켓 <10월 마주치장> 2019,"서울특별시 성동구 왕십리로 63, 언더스탠드에비뉴",02-725-5527,2019-10-19,2019-10-19,37.5436136344,127.0435962960
843,예당국제공연예술제 2019,충청남도 예산군 예산읍 아리랑로 185-14,070-7724-3787,2019-10-27,2019-11-02,36.6854649652,126.8492431922
844,예산장터삼국축제 2019,충청남도 예산군 예산읍 천변로 160,041-335-2441,2019-10-18,2019-10-24,36.6761049083,126.8479185639
845,예천국제스마트폰영화제 2019,경북 예천군 호명면 도청신도시 내 메가박스 및 야외 특설무대,054-650-6396,2019-10-18,2019-10-19,36.5752351070,128.4931129092
846,옐로우리버비치 2020,경상남도 합천군 대양면 동부로 39-13,053-424-5235,2020-08-08,2020-08-30,35.5599583078,128.1645146724
847,옛 골목은 살아있다 - 대구 '빼앗긴 들에도 봄은 오는가' 2019,대구광역시 중구 서성로 6-1,대구문화재단 차세대예술팀 053-430-1250,2019-05-11,2019-10-26,35.8671840532,128.5878634206
848,오감만족 문경새재맨발페스티벌 2020,경상북도 문경시 문경읍 새재로 932,053-754-7981,2020-08-08,2020-08-08,36.7615977206,128.0769835905
849,오대산 문화축제 2019,강원도 평창군 진부면 오대산로 374-8,033-339-6800,2019-10-11,2019-10-13,37.7311846077,128.5925086732
850,오륙도 평화축제 2019,부산광역시 남구 대연동 677번지,051-607-4062,2019-10-19,2019-10-20,35.1247354234,129.1004834883
851,오산독산성문화제 2020,온라인개최,"031-379-9924,6",2020-10-05,2020-10-18,37.1742064941,127.0458092551
852,오색별빛정원전 2020,경기도 가평군 상면 수목원로 432,1544-6703,2019-12-06,2020-03-22,37.7448402954,127.3525845994
853,오송화장품뷰티산업 엑스포 2020,충청북도 청주시 흥덕구 오송읍 오송가락로 123,043-220-4552,2020-10-20,2020-10-24,36.6233638351,127.3249965178
854,오아시스 맥주축제 2019,경상남도 양산시 물금읍 증산역로 155,055-389-3333,2019-07-12,2019-07-13,35.3097101884,129.0071254306
855,오장환 문학제 2019,충청북도 보은군 회인면 회인로5길 12,043-540-3372,2019-10-17,2019-10-18,36.4933419329,127.5964257646
856,오징어맨손잡기체험 및 구룡포 해변축제 2019,경상북도 포항시 남구 구룡포읍 호미로426번길 6,054-276-2966,2019-07-26,2019-07-28,35.9968489123,129.5660404789
857,오크밸리 캠핑페스티벌 2019,강원도 원주시 지정면 오크밸리2길 58,-,2019-05-31,2019-06-02,37.4078516721,127.8089446436
858,오크밸리 3D 라이팅쇼 '소나타오브라이트' 시즌 2 2020,강원도 원주시 지정면 오크밸리1길 66,033-730-3146,2018-12-24,2020-12-31,37.4346459591,127.8177986180
859,옥탑방고양이,서울특별시 종로구 대학로10길 24,02-764-8760,2019-01-01,2019-12-31,37.5815918348,127.0035183141
860,온택트 한성백제문화제 2020,서울특별시 송파구 올림픽로 424,02-2147-2800,2020-09-23,2020-09-27,37.5194456386,127.1224425827
861,올림픽공원 9경 스탬프투어,서울특별시 송파구 올림픽로 424,"02-410-1111, 1112",2019-01-01,2019-12-31,37.5194456386,127.1224425827
862,옹기종기 그림책 속 장난감마을 2019,강원도 춘천시 우석로 100,033-245-5138,2019-05-25,2019-05-25,37.8620674330,127.7550250720
863,와일드라이프 스토리(Wildlife Story) 2019,경상북도 상주시 도남2길 137,054-530-0764,2018-11-27,2019-04-21,36.4456010557,128.2554099702
864,완주와일드푸드축제 2020,전라북도 완주군 고산면 고산휴양림로 246,063-290-2622,2020-10-09,2020-10-11,35.9562996618,127.2361640908
865,왜목마을 해넘이 해돋이 축제 2020,충청남도 당진시 석문면 왜목길,010-2520-7894,2019-12-31,2020-01-01,37.0438124401,126.5268821269
866,외암민속마을 짚풀문화제 2019,충청남도 아산시 송악면 외암민속길 42-7,041-541-0848,2019-10-19,2019-10-20,36.7299516971,127.0179573352
867,용연선상음악회 2019,제주도 제주시 용담2동,제주시 문화체육과 064-728-2714,2019-06-01,2019-06-01,33.5149174139,126.5143319308
868,우륵문화제 2019,충청북도 충주시 예성로 266,043-847-1565,2019-09-26,2019-09-29,36.9817420706,127.9366009959
